bairro,sg,srag,obitos
Sport Club,3,0,0
Suzana,28,1,0
Taquaril,58,12,4
Teixeira Dias,176,20,7
Tiradentes,9,3,0
Tirol,354,26,5
Três Marias,8,0,0
Trevo,152,14,1
Túnel de Ibirité,51,2,0
Tupi A,215,19,4
Tupi B,254,19,6
União,393,22,3
Unidas,5,0,0
Universitário,42,3,1
Universo,28,0,0
Urca,105,9,3
Vale do Jatobá,166,22,8
Várzea da Palma,5,0,0
Venda Nova,92,6,1
Ventosa,64,6,3
Vera Cruz,95,19,2
Vila Aeroporto,8,0,0
Vila Aeroporto Jaraguá,3,1,0
Vila Antena,51,3,0
Vila Antena Montanhês,10,0,0
Vila Átila de Paiva,14,0,0
Vila Bandeirantes,9,1,0
Vila Barragem Santa Lúcia,85,11,0
Vila Batik,4,0,0
Vila Boa Vista,6,3,1
Vila Calafate,4,0,0
Vila Califórnia,36,3,0
Vila Canto do Sabiá,1,0,0
Vila CEMIG,52,15,4
Vila Clóris,192,15,2
Vila Copacabana,15,0,0
Vila COPASA,3,0,0
Vila Coqueiral,23,2,0
Vila da Amizade,1,0,0
Vila da Paz,15,2,0
Vila das Oliveiras,9,1,0
Vila de Sá,2,1,0
Vila Dias,30,1,0
Vila dos Anjos,8,0,0
Vila Ecológica,20,1,0
Vila Engenho Nogueira,2,0,0
Vila Esplanada,13,1,0
Vila Formosa,8,2,0
Vila FUMEC,1,0,0
Vila Havaí,9,1,0
Vila Independência I,37,4,1
Vila Independência II,22,1,1
Vila Independência IV,7,1,0
Vila Inestan,11,1,0
Vila Ipiranga,1,0,0
Vila Jardim Alvorada,50,1,1
Vila Jardim Leblon,5,2,0
Vila Jardim Montanhês,8,0,0
Vila Jardim São José,15,1,0
Vila Madre Gertrudes I,24,6,1
Vila Madre Gertrudes II,10,1,0
Vila Maloca,2,0,0
Vila Mangueiras,25,2,0
Vila Mantiqueira,11,0,0
Vila Maria,57,11,2
Vila Minaslândia,10,2,0
Vila Nossa Senhora Aparecida,16,2,1
Vila Nossa Senhora do Rosário,12,1,0
Vila Nova,9,1,0
Vila Nova Cachoeirinha I,11,2,0
Vila Nova Cachoeirinha II,4,2,1
Vila Nova Cachoeirinha IV,4,3,0
Vila Nova dos Milionários,13,0,0
Vila Nova Gameleira I,5,1,1
Vila Nova Gameleira II,22,0,0
Vila Nova Gameleira III,3,0,0
Vila Nova Paraíso,2,1,0
Vila Novo São Lucas,48,8,0
Vila Oeste,32,8,3
Vila Olhos d'Água,12,1,0
Vila Ouro Minas,0,1,0
Vila Paquetá,24,3,0
Vila Paraíso,1,1,0
Vila Paris,105,4,0
Vila Petrópolis,37,5,0
Vila Pilar,12,2,0
Vila Pinho,86,8,3
Vila Piratininga,26,2,0
Vila Piratininga Venda Nova,10,1,0
Vila Primeiro de Maio,54,4,1
Vila PUC,1,0,0
Vila Real I,1,0,0
Vila Real II,5,0,0
Vila Rica,7,0,0
Vila Santa Mônica,14,1,0
Vila Santa Rosa,4,1,0
Vila Santo Antônio,2,0,0
Vila Santo Antônio Barroquinha,3,0,0
Vila São Gabriel,3,2,1
Vila São Geraldo,3,0,0
Vila São João Batista,42,2,2
Vila São Paulo,34,11,1
Vila São Rafael,18,7,0
Vila Satélite,3,0,0
Vila SESC,7,1,1
Vila Sumaré,24,3,1
Vila Suzana I,27,0,0
Vila Suzana II,1,0,0
Vila Trinta e Um de Março,22,2,0
Vila União,16,2,0
Vila Vera Cruz I,6,2,1
Vila Vera Cruz II,2,0,0
Vila Vista Alegre,190,4,1
Virgínia,2,0,0
Vista Alegre,104,7,3
Vista do Sol,112,12,5
Vitória,95,9,0
Vitória da Conquista,11,3,1
Xangri-lá,4,0,0
Xodó-Marize,29,0,0
Zilah Spósito,9,7,1
